"","POSTCODE","Year","population"
"1",800,1991,1555
"2",800,1992,1585
"3",800,1993,1644
"4",800,1994,1664
"5",800,1995,1738
"6",800,1996,1850
"7",800,1997,1960
"8",800,1998,2020
"9",800,1999,2052
"10",800,2000,2115
"11",800,2001,2140
"12",800,2002,2248
"13",800,2003,2320
"14",800,2004,2429
"15",800,2005,2661
"16",800,2006,2798
"17",800,2007,3052
"18",800,2008,3664
"19",800,2009,4352
"20",800,2010,4841
"21",800,2011,5053
"22",800,2012,5412
"23",800,2013,5862
"24",800,2014,6288
"25",800,2015,7056
"26",800,2016,7591
"27",810,1991,2552
"28",810,1992,2553
"29",810,1993,2546
"30",810,1994,2540
"31",810,1995,2570
"32",810,1996,2588
"33",810,1997,2588
"34",810,1998,2567
"35",810,1999,2529
"36",810,2000,2522
"37",810,2001,2522
"38",810,2002,2510
"39",810,2003,2496
"40",810,2004,2499
"41",810,2005,2526
"42",810,2006,2546
"43",810,2007,2591
"44",810,2008,2650
"45",810,2009,2722
"46",810,2010,2776
"47",810,2011,2801
"48",810,2012,2875
"49",810,2013,2984
"50",810,2014,3032
"51",810,2015,3089
"52",810,2016,3127
"53",812,1991,4840
"54",812,1992,4843
"55",812,1993,4785
"56",812,1994,4754
"57",812,1995,4755
"58",812,1996,4759
"59",812,1997,4729
"60",812,1998,4669
"61",812,1999,4606
"62",812,2000,4591
"63",812,2001,4578
"64",812,2002,4511
"65",812,2003,4438
"66",812,2004,4396
"67",812,2005,4383
"68",812,2006,4388
"69",812,2007,4426
"70",812,2008,4465
"71",812,2009,4502
"72",812,2010,4509
"73",812,2011,4474
"74",812,2012,4483
"75",812,2013,4501
"76",812,2014,4475
"77",812,2015,4440
"78",812,2016,4390
"79",820,1991,2407
"80",820,1992,2395
"81",820,1993,2420
"82",820,1994,2431
"83",820,1995,2477
"84",820,1996,2512
"85",820,1997,2554
"86",820,1998,2580
"87",820,1999,2626
"88",820,2000,2702
"89",820,2001,2726
"90",820,2002,2726
"91",820,2003,2753
"92",820,2004,2827
"93",820,2005,2940
"94",820,2006,3012
"95",820,2007,3094
"96",820,2008,3150
"97",820,2009,3209
"98",820,2010,3220
"99",820,2011,3203
"100",820,2012,3288
"101",820,2013,3380
"102",820,2014,3382
"103",820,2015,3377
"104",820,2016,3385
"105",822,1991,3115
"106",822,1992,3170
"107",822,1993,3236
"108",822,1994,3304
"109",822,1995,3400
"110",822,1996,3528
"111",822,1997,3705
"112",822,1998,3821
"113",822,1999,3915
"114",822,2000,3994
"115",822,2001,4069
"116",822,2002,4118
"117",822,2003,4148
"118",822,2004,4201
"119",822,2005,4304
"120",822,2006,4409
"121",822,2007,4542
"122",822,2008,4695
"123",822,2009,4857
"124",822,2010,4998
"125",822,2011,5087
"126",822,2012,5152
"127",822,2013,5239
"128",822,2014,5201
"129",822,2015,5188
"130",822,2016,5149
"131",828,1991,1470
"132",828,1992,1615
"133",828,1993,1775
"134",828,1994,1927
"135",828,1995,2126
"136",828,1996,2272
"137",828,1997,2375
"138",828,1998,2369
"139",828,1999,2397
"140",828,2000,2436
"141",828,2001,2412
"142",828,2002,2356
"143",828,2003,2277
"144",828,2004,2216
"145",828,2005,2151
"146",828,2006,2126
"147",828,2007,2257
"148",828,2008,2440
"149",828,2009,2602
"150",828,2010,2657
"151",828,2011,2694
"152",828,2012,2664
"153",828,2013,2656
"154",828,2014,2051
"155",828,2015,1512
"156",828,2016,1392
"157",829,1991,1604
"158",829,1992,1904
"159",829,1993,2222
"160",829,1994,2508
"161",829,1995,2904
"162",829,1996,3206
"163",829,1997,3532
"164",829,1998,3694
"165",829,1999,3844
"166",829,2000,3987
"167",829,2001,4097
"168",829,2002,4033
"169",829,2003,3992
"170",829,2004,4003
"171",829,2005,4003
"172",829,2006,4018
"173",829,2007,4202
"174",829,2008,4437
"175",829,2009,4553
"176",829,2010,4578
"177",829,2011,4581
"178",829,2012,5025
"179",829,2013,5520
"180",829,2014,5876
"181",829,2015,6984
"182",829,2016,7339
"183",830,1991,1447
"184",830,1992,1563
"185",830,1993,1741
"186",830,1994,1964
"187",830,1995,2183
"188",830,1996,2371
"189",830,1997,2648
"190",830,1998,2827
"191",830,1999,3004
"192",830,2000,3112
"193",830,2001,3255
"194",830,2002,3290
"195",830,2003,3269
"196",830,2004,3273
"197",830,2005,3336
"198",830,2006,3414
"199",830,2007,3485
"200",830,2008,3572
"201",830,2009,3630
"202",830,2010,3631
"203",830,2011,3602
"204",830,2012,3639
"205",830,2013,3678
"206",830,2014,3679
"207",830,2015,3691
"208",830,2016,3667
"209",832,1991,16
"210",832,1992,29
"211",832,1993,42
"212",832,1994,55
"213",832,1995,71
"214",832,1996,180
"215",832,1997,481
"216",832,1998,795
"217",832,1999,1196
"218",832,2000,1445
"219",832,2001,1727
"220",832,2002,1948
"221",832,2003,2024
"222",832,2004,2131
"223",832,2005,2320
"224",832,2006,2572
"225",832,2007,2855
"226",832,2008,3224
"227",832,2009,3517
"228",832,2010,3725
"229",832,2011,3878
"230",832,2012,4145
"231",832,2013,4482
"232",832,2014,4762
"233",832,2015,4998
"234",832,2016,5119
"235",835,1991,1660
"236",835,1992,1892
"237",835,1993,2141
"238",835,1994,2369
"239",835,1995,2671
"240",835,1996,2918
"241",835,1997,3153
"242",835,1998,3277
"243",835,1999,3393
"244",835,2000,3501
"245",835,2001,3571
"246",835,2002,3528
"247",835,2003,3504
"248",835,2004,3522
"249",835,2005,3524
"250",835,2006,3533
"251",835,2007,3676
"252",835,2008,3868
"253",835,2009,3980
"254",835,2010,4015
"255",835,2011,4024
"256",835,2012,4337
"257",835,2013,4697
"258",835,2014,4976
"259",835,2015,5709
"260",835,2016,5960
"261",836,1991,3674
"262",836,1992,3930
"263",836,1993,4232
"264",836,1994,4457
"265",836,1995,4851
"266",836,1996,5166
"267",836,1997,5449
"268",836,1998,5658
"269",836,1999,5836
"270",836,2000,5978
"271",836,2001,6116
"272",836,2002,6172
"273",836,2003,6184
"274",836,2004,6218
"275",836,2005,6369
"276",836,2006,6483
"277",836,2007,6864
"278",836,2008,7265
"279",836,2009,7663
"280",836,2010,8060
"281",836,2011,8256
"282",836,2012,8536
"283",836,2013,8861
"284",836,2014,8970
"285",836,2015,9083
"286",836,2016,9221
"287",837,1991,1896
"288",837,1992,1964
"289",837,1993,2041
"290",837,1994,2118
"291",837,1995,2187
"292",837,1996,2304
"293",837,1997,2343
"294",837,1998,2364
"295",837,1999,2392
"296",837,2000,2395
"297",837,2001,2416
"298",837,2002,2494
"299",837,2003,2519
"300",837,2004,2573
"301",837,2005,2675
"302",837,2006,2783
"303",837,2007,3093
"304",837,2008,3320
"305",837,2009,3525
"306",837,2010,3703
"307",837,2011,3832
"308",837,2012,3932
"309",837,2013,4059
"310",837,2014,4449
"311",837,2015,4706
"312",837,2016,4757
"313",838,1991,1896
"314",838,1992,1964
"315",838,1993,2041
"316",838,1994,2118
"317",838,1995,2187
"318",838,1996,2304
"319",838,1997,2343
"320",838,1998,2364
"321",838,1999,2392
"322",838,2000,2395
"323",838,2001,2416
"324",838,2002,2494
"325",838,2003,2519
"326",838,2004,2573
"327",838,2005,2675
"328",838,2006,2783
"329",838,2007,3093
"330",838,2008,3320
"331",838,2009,3525
"332",838,2010,3703
"333",838,2011,3832
"334",838,2012,3932
"335",838,2013,4059
"336",838,2014,4449
"337",838,2015,4706
"338",838,2016,4757
"339",840,1991,3602
"340",840,1992,3632
"341",840,1993,3715
"342",840,1994,3802
"343",840,1995,3924
"344",840,1996,4088
"345",840,1997,4192
"346",840,1998,4219
"347",840,1999,4132
"348",840,2000,3978
"349",840,2001,3875
"350",840,2002,3865
"351",840,2003,3919
"352",840,2004,3964
"353",840,2005,4047
"354",840,2006,4166
"355",840,2007,4279
"356",840,2008,4420
"357",840,2009,4588
"358",840,2010,4726
"359",840,2011,4826
"360",840,2012,4877
"361",840,2013,4959
"362",840,2014,4891
"363",840,2015,4890
"364",840,2016,4872
"365",841,1991,1896
"366",841,1992,1964
"367",841,1993,2041
"368",841,1994,2118
"369",841,1995,2187
"370",841,1996,2304
"371",841,1997,2343
"372",841,1998,2364
"373",841,1999,2392
"374",841,2000,2395
"375",841,2001,2416
"376",841,2002,2494
"377",841,2003,2519
"378",841,2004,2573
"379",841,2005,2675
"380",841,2006,2783
"381",841,2007,3093
"382",841,2008,3320
"383",841,2009,3525
"384",841,2010,3703
"385",841,2011,3832
"386",841,2012,3932
"387",841,2013,4059
"388",841,2014,4449
"389",841,2015,4706
"390",841,2016,4757
"391",845,1991,3605
"392",845,1992,3635
"393",845,1993,3718
"394",845,1994,3806
"395",845,1995,3928
"396",845,1996,4092
"397",845,1997,4196
"398",845,1998,4223
"399",845,1999,4136
"400",845,2000,3982
"401",845,2001,3879
"402",845,2002,3869
"403",845,2003,3923
"404",845,2004,3968
"405",845,2005,4051
"406",845,2006,4170
"407",845,2007,4283
"408",845,2008,4424
"409",845,2009,4592
"410",845,2010,4730
"411",845,2011,4830
"412",845,2012,4882
"413",845,2013,4964
"414",845,2014,4896
"415",845,2015,4895
"416",845,2016,4877
"417",846,1991,3605
"418",846,1992,3635
"419",846,1993,3718
"420",846,1994,3806
"421",846,1995,3928
"422",846,1996,4092
"423",846,1997,4196
"424",846,1998,4223
"425",846,1999,4136
"426",846,2000,3982
"427",846,2001,3879
"428",846,2002,3869
"429",846,2003,3923
"430",846,2004,3968
"431",846,2005,4051
"432",846,2006,4170
"433",846,2007,4283
"434",846,2008,4424
"435",846,2009,4592
"436",846,2010,4730
"437",846,2011,4830
"438",846,2012,4882
"439",846,2013,4964
"440",846,2014,4896
"441",846,2015,4895
"442",846,2016,4877
"443",847,1991,1920
"444",847,1992,1925
"445",847,1993,1933
"446",847,1994,1943
"447",847,1995,1963
"448",847,1996,2005
"449",847,1997,2044
"450",847,1998,2085
"451",847,1999,2128
"452",847,2000,2154
"453",847,2001,2172
"454",847,2002,2139
"455",847,2003,2043
"456",847,2004,2006
"457",847,2005,2019
"458",847,2006,2025
"459",847,2007,2049
"460",847,2008,2089
"461",847,2009,2159
"462",847,2010,2213
"463",847,2011,2237
"464",847,2012,2209
"465",847,2013,2166
"466",847,2014,2119
"467",847,2015,2096
"468",847,2016,2035
"469",850,1991,8757
"470",850,1992,9026
"471",850,1993,9303
"472",850,1994,9578
"473",850,1995,9805
"474",850,1996,10050
"475",850,1997,9970
"476",850,1998,9949
"477",850,1999,9913
"478",850,2000,9817
"479",850,2001,9746
"480",850,2002,9694
"481",850,2003,9620
"482",850,2004,9595
"483",850,2005,9663
"484",850,2006,9728
"485",850,2007,9913
"486",850,2008,10164
"487",850,2009,10452
"488",850,2010,10563
"489",850,2011,10516
"490",850,2012,10685
"491",850,2013,10812
"492",850,2014,10799
"493",850,2015,10731
"494",850,2016,10605
"495",852,1991,3055
"496",852,1992,3140
"497",852,1993,3224
"498",852,1994,3310
"499",852,1995,3391
"500",852,1996,3487
"501",852,1997,3561
"502",852,1998,3649
"503",852,1999,3720
"504",852,2000,3786
"505",852,2001,3835
"506",852,2002,3838
"507",852,2003,3822
